productUrl,productId
/catalog/product/view/id/157/s/30-flat-panel-tft-lcd-cinema-hd-monitor/category/30/,157
/catalog/product/view/id/155/s/250gb-5400rpm/category/29/,155
/catalog/product/view/id/51/s/ottoman/category/22/,51
/catalog/product/view/id/52/s/chair/,52
/catalog/product/view/id/53/s/couch/,53
/catalog/product/view/id/54/s/magento-red-furniture-set/,54
/catalog/product/view/id/41/s/akio-dresser/category/23/,41
/catalog/product/view/id/42/s/barcelona-bamboo-platform-bed/category/23/,42
/catalog/product/view/id/25/s/apple-macbook-pro-ma464ll-a-15-4-notebook-pc-2-0-ghz-intel-core-duo-1-gb-ram-100-gb-hard-drive-superdrive/category/28/,25
/catalog/product/view/id/28/s/toshiba-satellite-a135-s4527-155-4-notebook-pc-intel-pentium-dual-core-processor-t2080-1-gb-ram-120-gb-hard-drive-supermulti-dvd-drive-vista-premium/category/28/,28
/catalog/product/view/id/158/s/sony-vaio-vgn-txn27n-b-11-1-notebook-pc/category/28/,158
/catalog/product/view/id/149/s/1tb-7200rpm/category/29/,149
/catalog/product/view/id/150/s/500gb-7200rpm/category/29/,150
/catalog/product/view/id/154/s/500gb-5400rpm/category/29/,154
/catalog/product/view/id/152/s/24-widescreen-flat-panel-lcd-monitor/category/30/,152
/catalog/product/view/id/141/s/crucial-1gb-pc4200-ddr2-533mhz-memory/category/31/,141
/catalog/product/view/id/145/s/amd-phenom-x4-9850-black-ed-2-50ghz-retail/category/33/,145
/catalog/product/view/id/119/s/coalesce-functioning-on-impatience-t-shirt/category/4/,119
/catalog/product/view/id/120/s/ink-eater-krylon-bombear-destroyed-tee/category/4/,120
/catalog/product/view/id/123/s/the-only-children-paisley-t-shirt/category/4/,123
/catalog/product/view/id/93/s/asics-men-s-gel-kayano-xii/category/16/,93
/catalog/product/view/id/98/s/kenneth-cole-new-york-men-s-con-verge-slip-on/category/16/,98
/catalog/product/view/id/39/s/the-get-up-kids-band-camp-pullover-hoodie/category/19/,39
